"Source","Category","Cue","Included","Rule1_type","Rule1_context","Rule2_type","Rule2_context"
"Varttala","Probability adjectives","apparent","Yes ","Not preceded by","become, be, such as, also","NA","NA"
"Varttala","Probability adverbs","apparently","Yes ","NA","NA","NA","NA"
"Varttala","Tentative cognition nouns ","assumption","Yes ","NA","NA","NA","NA"
"Varttala","Nouns of tentative likelihood","alternative","Yes","Preceded by","the, an","Followed by","explanation, interpretation, mechanism"
"Varttala","Tentative congnition verbs","anticipate","Yes","Preceded by","we, would, could, be","NA","NA"
"Varttala","Nonfactive reporting verbs ","argue","Yes","Preceded by","one may, some, we","NA","NA"
"Add","Verbs","argued","Yes","Preceded by","be, we have","NA","NA"
"Varttala, Atanassova","Adjectives of indefinite frequency","general","Yes","Preceded by","in","NA","NA"
"Add","Adverbs","ideally","Yes","Preceded by","which allow, which allows","NA","NA"
"Chen","Nouns","paradox","Yes","Preceded by","apparent","NA","NA"
"Chen","Adjectives ","surprising","Yes","Preceded by","is, not, may not be, was, completely  ","NA","NA"
"Varttala","Tentative congnition verbs","think","Yes","Preceded by","we","NA","NA"
"Varttala","Tentative cognition nouns ","view","Yes","Preceded by","in our ","NA","NA"
"Varttala","Tentative congnition verbs","consider","Yes","Preceded by","we, we must, we therefore","NA","NA"
"Varttala","Nonfactive assertive nouns  ","indication","Yes","Preceded by","provides some, gives no, provide a better",,
"Varttala","Tentative cognition nouns ","notion","Yes","Preceded by","this, the, implausible","NA","NA"
"Varttala","Tentative cognition nouns ","perception","Yes","Preceded by","this","NA","NA"
"Varttala","Tentative cognition nouns ","theory","Yes","Preceded by","in, this, the","NA","NA"
"Add","Expressions","play","Yes","Preceded and","may, may also, likely to ","Followed by","role, a role, some role, an important role, a significant role "
"Varttala","Nonfactive assertive nouns  ","argument","Yes","Not preceded by","that, the","NA","NA"
"Chen","Adjectives","contrary ","Yes","Not preceded by","a, on the, the","NA","NA"
"Varttala","Nouns of tentative likelihood","possibility","Yes","Not preceded by","no","NA","NA"
"Varttala","Probability adjectives","possible","Yes","Not preceded by","not","NA","NA"
"Varttala","Tentative cognition nouns ","hypothesis","Yes","Not preceded by","null","NA","NA"
"Varttala","Adjectives of indefinite degree","little","Yes","Not preceded by","too","Followed by","evidence, difference, to no, or no, is known, research, room, information, relation, consistency, change, association, variation"
"Varttala","Adverbs of indefinite degree","moderately","Yes","Not preceded by","of, the","NA","NA"
"Varttala","Nouns of tentative likelihood","trend","Yes","Not preceded by","p for, p=, p Value for, for, time, demographic, linear, P-, P-value, P",,
"Chen","Nouns","ambiguity","Yes","Not followed by","the","NA","NA"
"Varttala","Tentative linking verbs","appear","Yes","Not followed by","in","NA","NA"
"Add","Conjunction","assuming","Yes","NA","NA","NA","NA"
"Add","Verbs","hypothesized","Yes","Not followed by","interventions","NA","NA"
"Add","Verbs","proposed","Yes","Not followed by","by","NA","NA"
"Varttala","Adverbs of indefinite frequency","rarely","Yes","Not followed by","and","Not preceded by","and"
"Chen","Adjectives ","unexpected","Yes","Not followed by","to ","NA","NA"
"Varttala","Nouns of tentative likelihood","chance","Yes","Not followed by","by ","NA","NA"
"Varttala","Nouns of tentative likelihood","likelihood","Yes","Not followed by","ratio","NA","NA"
"Varttala, Hyland","Modal auxiliares","may","Yes","Not","May","NA","NA"
"Varttala","Tentative cognition nouns ","interpretation","Yes","Not","Interpretation","NA","NA"
"Chen","Adjectives ","ambiguous","Yes","NA","NA","NA","NA"
"Varttala","Tentative congnition verbs","approximate","Yes","NA","NA","NA","NA"
"Varttala","Approximative adjectives","approximate","Yes","NA","NA","NA","NA"
"Varttala","Approximative adverbs","approximately","Yes","NA","NA","NA","NA"
"Varttala","Tentative cognition nouns ","approximation ","Yes","NA","NA","NA","NA"
"Varttala","Probability adverbs","arguably","Yes","NA","NA","NA","NA"
"Varttala","Tentative congnition verbs","assume","Yes","NA","NA","NA","NA"
"Add","Verbs","assumed","Yes","NA","NA","NA","NA"
"Varttala","Tentative cognition nouns ","belief","Yes","NA","NA","NA","NA"
"Varttala","Tentative congnition verbs","believe","Yes","NA","NA","NA","NA"
"Add","Expressions","can be seen as","Yes","NA","NA","NA","NA"
"Add","Expressions","consistent with","Yes","NA","NA","NA","NA"
"Chen","Adjectives","contradictory","Yes","NA","NA","NA","NA"
"Chen","Adjectives","controversial","Yes","NA","NA","NA","NA"
"Varttala","Modal auxiliares","could","Yes","NA","NA","NA","NA"
"Atanassova","Expressions","difficult to know","Yes","NA","NA","NA","NA"
"Varttala","Approximative adverbs","essentially","Yes","NA","NA","NA","NA"
"Varttala","Tentative congnition verbs","expect","Yes","NA","NA","NA","NA"
"Varttala","Adverbs of indefinite frequency","generally","Yes","NA","NA","NA","NA"
"Varttala","Tentative congnition verbs","hypothesize","Yes","NA","NA","NA","NA"
